Date,Expéditeur,Statut,Bordereau,Type,Nom,Prénom,Adresse,"Code Postal",Ville
"2022-11-30 13:28:43","tmp_toto company","en attente",14096,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-11-29 16:31:33","tmp_toto company","en attente",14094,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-11-29 07:37:51","tmp_toto company","en attente",14099,"Lettre avec accusé de reception",mairie,"service comm","2 place royale",64000,pau
"2022-11-28 10:55:32","tmp_toto company","en attente",14092,"Lettre avec accusé de reception",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-11-27 08:49:20","tmp_toto company","en attente",14076,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-11-27 08:48:28","tmp_toto company","en attente",14015,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-11-26 06:51:15","tmp_toto company","en attente",14039,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2022-11-26 06:50:03","tmp_toto company","en attente",14028,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2022-11-26 06:49:15","tmp_toto company","en attente",14086,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2022-11-26 06:25:29","tmp_toto company","en attente",14082,"Lettre avec accusé de reception",mairie,"service comm","2 place royale",64000,pau
"2022-11-26 06:23:12","tmp_toto company","en attente",14088,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-11-26 06:04:54","tmp_toto company","en attente",14090,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-11-26 05:52:56","tmp_toto company","en attente",14091,"Lettre avec accusé de reception","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2022-11-18 17:11:08","tmp_toto company","en attente",14085,Colis,mairie,"service presse","2 place royale",64000,pau
"2022-11-16 23:34:03","tmp_toto company","en attente",14083,"Lettre avec accusé de reception",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-11-16 23:28:51","tmp_toto company","en attente",14084,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-11-16 20:52:44","tmp_toto company","en attente",14000,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-11-16 09:33:54","tmp_toto company","en attente",14047,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-11-16 09:33:32","tmp_toto company","en attente",14058,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2022-11-16 09:31:20","tmp_toto company","en attente",14065,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2022-11-16 09:25:54","tmp_toto company","en attente",14077,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-11-16 09:21:03","tmp_toto company","en attente",14057,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2022-11-16 09:20:39","tmp_toto company","en attente",14008,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-11-16 09:19:48","tmp_toto company","en attente",14038,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2022-11-15 17:24:08","tmp_toto company","en attente",14049,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-11-15 17:23:02","tmp_toto company","en attente",14068,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2022-11-15 17:21:36","tmp_toto company","en attente",14018,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-11-15 17:20:46","tmp_toto company","en attente",14027,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2022-11-15 17:19:00","tmp_toto company","en attente",14007,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-11-15 17:18:07","tmp_toto company","en attente",14078,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-11-15 17:13:01","tmp_toto company","en attente",14009,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2022-11-15 17:08:40","tmp_toto company","en attente",14048,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2022-11-15 17:04:38","tmp_toto company","en attente",14069,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2022-11-15 17:02:31","tmp_toto company","en attente",14059,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2022-11-15 16:55:45","tmp_toto company","en attente",14019,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-11-15 16:49:46","tmp_toto company","en attente",14029,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2022-11-15 16:48:25","tmp_toto company","en attente",14037,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2022-11-15 16:47:40","tmp_toto company","en attente",14079,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2022-11-15 16:38:39","tmp_toto company","en attente",14081,"Lettre avec accusé de reception",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2022-11-15 14:30:53","tmp_toto company","en attente",14080,"Lettre avec accusé de reception",dupont,rené,"48 place verdun",64000,pau
"2022-11-15 13:56:53","tmp_toto company","en attente",14010,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-11-04 00:00:00","tmp_toto company","en attente",13999,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-11-04 00:00:00","tmp_toto company","en attente",10499,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-11-04 00:00:00","tmp_toto company","en attente",10999,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-11-04 00:00:00","tmp_toto company","en attente",11498,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-11-04 00:00:00","tmp_toto company","en attente",11999,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-11-04 00:00:00","tmp_toto company","en attente",12498,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-11-04 00:00:00","tmp_toto company","en attente",12999,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-11-04 00:00:00","tmp_toto company","en attente",13499,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-30 00:00:00","tmp_toto company","en attente",10998,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-30 00:00:00","tmp_toto company","en attente",11499,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-30 00:00:00","tmp_toto company","en attente",11998,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-30 00:00:00","tmp_toto company","en attente",12499,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-30 00:00:00","tmp_toto company","en attente",12998,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-30 00:00:00","tmp_toto company","en attente",13498,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-30 00:00:00","tmp_toto company","en attente",13998,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-24 23:00:00","tmp_toto company","en attente",13995,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-24 23:00:00","tmp_toto company","en attente",10497,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-10-24 23:00:00","tmp_toto company","en attente",10997,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-24 23:00:00","tmp_toto company","en attente",11497,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-24 23:00:00","tmp_toto company","en attente",11996,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-24 23:00:00","tmp_toto company","en attente",12497,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-24 23:00:00","tmp_toto company","en attente",12996,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-24 23:00:00","tmp_toto company","en attente",13497,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-19 23:00:00","tmp_toto company","en attente",10496,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-10-19 23:00:00","tmp_toto company","en attente",10995,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-19 23:00:00","tmp_toto company","en attente",11495,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-19 23:00:00","tmp_toto company","en attente",11994,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-19 23:00:00","tmp_toto company","en attente",12496,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-19 23:00:00","tmp_toto company","en attente",12997,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-19 23:00:00","tmp_toto company","en attente",13494,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-19 23:00:00","tmp_toto company","en attente",13997,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-14 23:00:00","tmp_toto company","en attente",13996,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-14 23:00:00","tmp_toto company","en attente",10495,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-10-14 23:00:00","tmp_toto company","en attente",10996,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-14 23:00:00","tmp_toto company","en attente",11496,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-14 23:00:00","tmp_toto company","en attente",11997,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-14 23:00:00","tmp_toto company","en attente",12495,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-14 23:00:00","tmp_toto company","en attente",12995,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-14 23:00:00","tmp_toto company","en attente",13496,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-09 23:00:00","tmp_toto company","en attente",10494,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-10-09 23:00:00","tmp_toto company","en attente",10994,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-09 23:00:00","tmp_toto company","en attente",11494,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-09 23:00:00","tmp_toto company","en attente",11995,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-09 23:00:00","tmp_toto company","en attente",12493,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-09 23:00:00","tmp_toto company","en attente",12994,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-09 23:00:00","tmp_toto company","en attente",13495,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-10-09 23:00:00","tmp_toto company","en attente",13994,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-04 23:00:00","tmp_toto company","en attente",13993,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-10-04 23:00:00","tmp_toto company","en attente",10493,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-10-04 23:00:00","tmp_toto company","en attente",10993,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-10-04 23:00:00","tmp_toto company","en attente",11492,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-10-04 23:00:00","tmp_toto company","en attente",11993,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-10-04 23:00:00","tmp_toto company","en attente",12494,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-10-04 23:00:00","tmp_toto company","en attente",12992,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-10-04 23:00:00","tmp_toto company","en attente",13493,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-29 23:00:00","tmp_toto company","en attente",10491,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-29 23:00:00","tmp_toto company","en attente",10989,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-29 23:00:00","tmp_toto company","en attente",11493,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-29 23:00:00","tmp_toto company","en attente",11992,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-29 23:00:00","tmp_toto company","en attente",12492,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-29 23:00:00","tmp_toto company","en attente",12991,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-29 23:00:00","tmp_toto company","en attente",13492,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-29 23:00:00","tmp_toto company","en attente",13992,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-24 23:00:00","tmp_toto company","en attente",13991,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-24 23:00:00","tmp_toto company","en attente",10492,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-24 23:00:00","tmp_toto company","en attente",10992,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-24 23:00:00","tmp_toto company","en attente",11490,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-24 23:00:00","tmp_toto company","en attente",11990,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-24 23:00:00","tmp_toto company","en attente",12491,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-24 23:00:00","tmp_toto company","en attente",12993,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-24 23:00:00","tmp_toto company","en attente",13491,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-19 23:00:00","tmp_toto company","en attente",10490,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-19 23:00:00","tmp_toto company","en attente",10991,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-19 23:00:00","tmp_toto company","en attente",11489,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-19 23:00:00","tmp_toto company","en attente",11989,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-19 23:00:00","tmp_toto company","en attente",12490,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-19 23:00:00","tmp_toto company","en attente",12990,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-19 23:00:00","tmp_toto company","en attente",13490,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-19 23:00:00","tmp_toto company","en attente",13990,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-14 23:00:00","tmp_toto company","en attente",13989,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-14 23:00:00","tmp_toto company","pris en charge",10489,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-14 23:00:00","tmp_toto company","en attente",10990,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-14 23:00:00","tmp_toto company","en attente",11488,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-14 23:00:00","tmp_toto company","en attente",11991,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-14 23:00:00","tmp_toto company","en attente",12489,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-14 23:00:00","tmp_toto company","en attente",12989,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-14 23:00:00","tmp_toto company","en attente",13488,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-09 23:00:00","tmp_toto company","en attente",10488,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-09 23:00:00","tmp_toto company","en attente",10988,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-09 23:00:00","tmp_toto company","en attente",11491,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-09 23:00:00","tmp_toto company","en attente",11988,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-09 23:00:00","tmp_toto company","en attente",12487,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-09 23:00:00","tmp_toto company","en attente",12988,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-09 23:00:00","tmp_toto company","en attente",13489,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-09-09 23:00:00","tmp_toto company","en attente",13988,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-04 23:00:00","tmp_toto company","en attente",13987,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-09-04 23:00:00","tmp_toto company","en attente",10487,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-09-04 23:00:00","tmp_toto company","en attente",10985,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-09-04 23:00:00","tmp_toto company","en attente",11487,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-09-04 23:00:00","tmp_toto company","en attente",11987,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-09-04 23:00:00","tmp_toto company","en attente",12488,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-09-04 23:00:00","tmp_toto company","en attente",12987,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-09-04 23:00:00","tmp_toto company","en attente",13487,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-30 23:00:00","tmp_toto company","en attente",10486,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-30 23:00:00","tmp_toto company","en attente",10986,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-30 23:00:00","tmp_toto company","en attente",11486,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-30 23:00:00","tmp_toto company","en attente",11986,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-30 23:00:00","tmp_toto company","en attente",12486,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-08-30 23:00:00","tmp_toto company","en attente",12985,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-08-30 23:00:00","tmp_toto company","en attente",13483,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-30 23:00:00","tmp_toto company","en attente",13986,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-25 23:00:00","tmp_toto company","en attente",13985,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-25 23:00:00","tmp_toto company","en attente",10484,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-25 23:00:00","tmp_toto company","en attente",10987,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-25 23:00:00","tmp_toto company","en attente",11484,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-25 23:00:00","tmp_toto company","en attente",11984,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-25 23:00:00","tmp_toto company","en attente",12485,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-08-25 23:00:00","tmp_toto company","en attente",12984,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-08-25 23:00:00","tmp_toto company","en attente",13486,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-20 23:00:00","tmp_toto company","en attente",10485,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-20 23:00:00","tmp_toto company","en attente",10983,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-20 23:00:00","tmp_toto company","en attente",11485,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-20 23:00:00","tmp_toto company","en attente",11983,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-20 23:00:00","tmp_toto company","en attente",12484,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-08-20 23:00:00","tmp_toto company","en attente",12983,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-08-20 23:00:00","tmp_toto company","en attente",13484,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-20 23:00:00","tmp_toto company","en attente",13984,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-15 23:00:00","tmp_toto company","en attente",13983,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-15 23:00:00","tmp_toto company","en attente",10482,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-15 23:00:00","tmp_toto company","en attente",10984,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-15 23:00:00","tmp_toto company","en attente",11483,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-15 23:00:00","tmp_toto company","en attente",11985,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-15 23:00:00","tmp_toto company","en attente",12483,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-08-15 23:00:00","tmp_toto company","en attente",12986,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-08-15 23:00:00","tmp_toto company","en attente",13485,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-10 23:00:00","tmp_toto company","en attente",10483,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-10 23:00:00","tmp_toto company","en attente",10982,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-10 23:00:00","tmp_toto company","en attente",11482,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-10 23:00:00","tmp_toto company","en attente",11982,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-10 23:00:00","tmp_toto company","en attente",12482,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
"2017-08-10 23:00:00","tmp_toto company","en attente",12982,"Lettre avec suivi","de la roche-foucault",bérangère,"34 rue léo poivrier",64230,bizanos
"2017-08-10 23:00:00","tmp_toto company","en attente",13482,"Lettre avec suivi",dupont,rené,"48 place verdun",64000,pau
"2017-08-10 23:00:00","tmp_toto company","en attente",13982,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-05 23:00:00","tmp_toto company","en attente",13981,"Lettre avec suivi",dupontel,albert,"296 bvd olga ducresne",64470,serres-castet
"2017-08-05 23:00:00","tmp_toto company","en attente",10481,"Lettre avec suivi",durand,jacques,"23 rue xavier pinson",64000,pau
"2017-08-05 23:00:00","tmp_toto company","en attente",10980,"Lettre avec suivi",pinson,xavier,"12 rue kevin troisquarts",64666,gelos
"2017-08-05 23:00:00","tmp_toto company","en attente",11481,"Lettre avec suivi",mairie,"service presse","2 place royale",64000,pau
"2017-08-05 23:00:00","tmp_toto company","en attente",11981,"Lettre avec suivi",mairie,"service comm","2 place royale",64000,pau
"2017-08-05 23:00:00","tmp_toto company","en attente",12481,"Lettre avec suivi",dupontelle,gilberte,"56 rue xavier pinson",64666,gelos
